,COLLECTION_DATE,FLOODING_DATE,FLOOD_DEPTH,FLOOD_DEPTH_OTHER,FLOOD_FREQUENCY,FLOOD_FREQUENCY_OTHER,PROPERTY_TYPE,AFFECTED_AREA,OTHER_INFORMATION,OBSERVATIONS,AFFECTED_AGRICULTURE,AFFECTED_AGRICULTURE_OTHER,SURVEY_TYPE,MONTH,YEAR,EVENT_TYPE,EVENT_TYPE_OTHER,EVENT_NAME,COUNTY,MUNICIPALITY,SPECIAL_DISTRICT_NAME,FLOOD_PRONE_AREA_ID,AHED_WS_NAME,PHOTO,UNIQUE_ID,geometry
118,2008-08-21T07:39:32+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6505.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,390459e5-0f9a-4531-8832-a4f4136dbbec,POINT (855736.8721902445 1080959.678999491)
119,2008-08-21T07:41:52+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6514.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,3bc4afdc-c397-45e6-b138-fd60f016346d,POINT (857473.8733094111 1081698.986575991)
120,2022-11-17T17:00:00+00:00,2022-11-17T17:00:00+00:00,other,Adjacent to Lake Myrtle,sometimes,,Agriculture,field_open_natural_area,,,,,Public,11,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,"LAKES PRESTON, JOEL, AND MYRTLE",LAKE MYRTLE,Yes,3c6f1b81-6b09-4545-ab24-2f0793a30de6,POINT (606820.0481744967 1437268.652403742)
121,2008-08-21T07:41:20+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6509.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,3c8197cf-8574-4e66-8962-daaf9e6719aa,POINT (858319.5704369135 1081426.899849825)
122,2022-11-10T20:08:00+00:00,2022-11-10T20:08:00+00:00,don't_know,,don't_know,,Residential,building_structure,,This is the Seasons Condo on A1A-parking garage flooded.,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,FORT LAUDERDALE,,FORT LAUDERDALE EAST,CORAL REEF,No,3c8d5a01-218c-416f-b148-cfdbbbf36427,POINT (950156.3116318285 652357.1224924028)
123,2022-10-02T16:00:00+00:00,2022-10-02T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Residential,don't_know,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,CENTER LAKE,ALLIGATOR LAKE,No,3d8b3fd2-1f8e-4377-acec-d6847cf534ed,POINT (593137.5266550779 1432070.324873909)
124,2022-10-06T16:00:00+00:00,2022-10-06T16:00:00+00:00,don't_know,,don't_know,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,3e3fb154-399e-45b0-a08d-15a4b95bf15e,POINT (601853.9468862452 1469297.255669236)
125,2021-09-09T15:09:00+00:00,,less_than_ankle_deep,,don't_know,,Mixed_Use,storm_drain,,Water coming up the storm drain.,,,Public,09,2021,High Tide/Tidal Flooding,Tidal,2021 Sept Tidal Event,Broward,FORT LAUDERDALE,,FORT LAUDERDALE DOWNTOWN,CORAL REEF,No,3f37e94f-2288-4c6a-ba2f-19661947a260,POINT (938974.3002032451 649662.2988138199)
126,2021-11-07T16:15:00+00:00,,ankle_deep,,don't_know,,Natural_Area_Open_Land_Recreational,field_open_natural_area,,,,,Public,11,2021,extreme_heavy_rainfall_tidal_flooding,Both_Rain_Tidal,2021 Nov Rain and Tidal Event,Broward,HOLLYWOOD,,HOLLYWOOD,CORAL REEF,No,3f449f74-d030-49d8-acfb-683932c94be8,POINT (946187.7286897451 619328.7892709896)
127,2020-05-27T00:00:00+00:00,2020-05-27T00:00:00+00:00,don't_know,,sometimes,,Residential,road_street,,"Yesterdays excessive rain caused major flooding and damage to the NW@ 43 Place & 5 Street. Last night we had the trash and debris floating down the street and my yard looks like a pool, even 24 hours later. I realize that there was a lot of rain yesterday, however for the past 2 years this area has flooded with water coming up & into our doors, and nothing has been done. Last year, Commissioner Gort's office referred the matter to the city engineers - I haven't heard anything back.",,,Email,05,2020,Extreme or Heavy Rainfall,Rain,2020 May Extreme Rain Event Memorial Day,Miami-Dade,MIAMI,,MIAMI,C-4,No,3fc80186-c0b5-4d43-8f41-d51facf2b573,POINT (897216.3112128302 525388.5135692433)
128,2022-06-04T16:00:00+00:00,2022-06-04T16:00:00+00:00,greater_than_knee_deep,,whenever_it_rains,,Commercial,don't_know,,,,,Public,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Miami-Dade,MIAMI,,MIAMI,MIAMI RIVER,No,4028bc3f-665a-4eea-8352-5b1e9dc2faad,POINT (921128.0790059939 521078.9080152363)
129,2022-09-30T16:00:00+00:00,2022-09-30T16:00:00+00:00,other,Damage is above high water mark,don't_know,,Commercial,don't_know,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,NA,,LEE COUNTY CALOOSAHATCHEE RIVER,TELEGRAPH SWAMP,No,403f3c8e-a22f-4747-8401-a24f40cfcce4,POINT (429442.9104754105 869305.1203540713)
130,2022-10-07T09:51:04+00:00,,don't_know,,don't_know,,Residential,don't_know,,220907_Lake_Ajay_Community-01730.jpg,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,41262eed-8fa8-4b76-aa53-35485970dfc8,POINT (583423.6536944136 1458028.552812986)
131,2022-10-07T13:38:15+00:00,,don't_know,,don't_know,,Residential,road_street,,221007_Flight-02344.jpg,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Highlands,NA,,,KISSIMMEE RIVER,Yes,41a5d38b-07ed-445e-a5e3-d580faf5d577,POINT (588689.5165222473 1146116.422701493)
132,2022-10-02T16:00:00+00:00,2022-10-02T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,ORLANDO,,,,No,42161324-6171-438a-8669-6c8a654bf8f2,POINT (542070.3056269959 1535378.537876487)
133,2022-10-13T18:00:00+00:00,,ankle_deep,,yes_it_always_floods_here,,Mixed_Use,storm_drain,,"There are several storm drains here that always get backed up and cause the streets to flood, during hurricane season flooding can get as high as 2 foot if rain is constant like today ",,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Broward,HOLLYWOOD,,HOLLYWOOD,CORAL REEF,No,42b0e690-e1ac-472d-a926-e3ade900baaa,POINT (939688.2288934961 615077.6580094919)
134,2023-11-16T18:17:00+00:00,2023-11-16T18:17:00+00:00,ankle_deep,,whenever_it_rains,,Residential,parking_lot,,,,,Public,11,2023,Extreme or Heavy Rainfall,Rain,2023 Nov Extreme Rain Event,Miami-Dade,MIAMI,,MIAMI,C-4,Yes,433f59f0-38dd-4b1e-ab78-4c51dfcb3dc7,POINT (893975.5818019137 525957.0928126574)
135,2022-10-03T10:27:59+00:00,,don't_know,,don't_know,,Natural_Area_Open_Land_Recreational,don't_know,,221003_Hurricane_Ian_Polk_County_Packingham_slough_South_P1050105.JPG,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Polk,NA,,PACKINGHAM SLOUGH / RIVER RANCH VICINITY,S-65A,Yes,43b30ca2-9b0d-45b2-9811-535ecf50e771,POINT (584668.8060597442 1254485.340477653)
136,2022-11-11T19:52:00+00:00,2022-11-11T19:52:00+00:00,don't_know,,don't_know,,Residential,storm_drain,,"Customer says there is a major problem where inlet meets the road, needs repair causing flooding per caller. ",,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,FORT LAUDERDALE,BROWARD COUNTY WATER CONTROL DISTRICT #4,FORT LAUDERDALE EXECUTIVE AIRPORT,C-14 WEST,No,4462b999-3fec-4035-91b8-a0cee5bcb6e3,POINT (922969.7200077437 681860.4083019868)
137,2022-11-11T14:29:00+00:00,2022-11-11T14:29:00+00:00,don't_know,,don't_know,,Residential,road_street,,"There is extreme flooding in front of my house which is impacting the entire street.  I have called the City Help Desk repeatedly.  The storm drain may have been cleaned out, however flooding continues on a weekly basis, so I assume it has not been a priority.   Additionally, there is a red valve which the City installed which only works to reduce flooding when it is maintained.  I see no evidence that it is alleviating the flooding.  I understand that the combination of King tides, hurricane flooding and rain have created a perfect situation for flooding to occur…however, there is no way for the flooding to dissipate. I implore you to expedite maintenance of the storm drain and relieve the street flooding immediately.  The street is becoming a health hazard and is impossible to navigate.  ",,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,FORT LAUDERDALE,,FORT LAUDERDALE EAST,CORAL REEF,No,44b5f144-c1cc-490e-afc6-5b7904c71930,POINT (946663.2172400802 648118.7110217363)
138,2022-09-30T16:00:00+00:00,2022-09-30T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Mixed_Use,don't_know,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,ORLANDO,,,,No,46715b9e-ecb3-4aab-9262-8bc289e95c93,POINT (535462.8362304121 1530777.472275488)
139,2022-09-29T16:02:26+00:00,,don't_know,,don't_know,,Residential,road_street,,220929_Ian_Lee-20220929_200226705_iOS.jpg,,,Photo Database,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,NA,EAST MULLOCH DRAINAGE DISTRICT,LEE COUNTY INLAND COAST,ESTERO BAY,Yes,46e6c831-8370-42de-a4dd-ad009659f88e,POINT (378989.3647291623 780625.4594591558)
140,2022-10-01T16:00:00+00:00,2022-10-01T16:00:00+00:00,greater_than_knee_deep,,whenever_it_rains,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,KISSIMMEE,,SHINGLE CREEK DISCHARGE TO LAKE TOHOPEKALIGA,LAKE TOHOPEKALIGA,No,471fc7e3-144b-4af5-b427-d67c31932e97,POINT (519141.299975913 1430544.427335158)
141,2008-08-21T07:42:00+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6516.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,47c28e9e-64b9-41c1-bacf-0511c53fd824,POINT (858153.5363201611 1081509.687741987)
142,2022-10-06T16:00:00+00:00,2022-10-06T16:00:00+00:00,ankle_deep,,don't_know,,Commercial,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,CYPRESS LAKE BOATRAMP,LAKE CYPRESS,Yes,48866f14-5ad0-4aa7-8bba-6c69afc3fad2,POINT (559145.5729855783 1363178.889494322)
143,2020-05-30T04:00:00+00:00,2020-05-30T04:00:00+00:00,don't_know,,don't_know,,Residential,road_street,,miami springs lake on hammond and payne drive,,,Email,05,2020,Extreme or Heavy Rainfall,Rain,2020 May Extreme Rain Event Memorial Day,Miami-Dade,MIAMI SPRINGS,,MIAMI SPRINGS,C-6,No,48d88ebf-e424-4749-a2ed-6b5a1bb2a512,POINT (886671.3972633295 540452.9263537377)
144,2008-08-21T07:47:14+00:00,,don't_know,,don't_know,,Governmental,swale,,pia6524.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,NA,NORTH ST LUCIE RIVER WATER CONTROL DISTRICT,TEN MILE CREEK,TEN MILE CREEK,Yes,494d72ed-2374-4273-a891-0e3c89aee283,POINT (846348.8220687471 1116774.551267236)
145,2022-10-10T16:00:00+00:00,2022-10-10T16:00:00+00:00,ankle_deep,,don't_know,,Residential,swale,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,4a9000cf-6968-4c52-9b72-0aa422ad984c,POINT (601219.6289291605 1474187.238999486)
146,2022-10-02T12:46:20+00:00,,don't_know,,don't_know,,Natural_Area_Open_Land_Recreational,field_open_natural_area,,221002_Ian_Lake_Mary_Jane_Drone-P0580058.JPG,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,4bb7f39f-e954-4922-8032-eee83759d074,POINT (596137.912058495 1467805.282275237)
147,2020-05-26T00:00:00+00:00,2020-05-26T00:00:00+00:00,don't_know,,don't_know,,Residential,road_street,,Lake Galloway is overflowing. Kindly let us know if the canal on US1 can be open to relieve the area.,,,Email,05,2020,Extreme or Heavy Rainfall,Rain,2020 May Extreme Rain Event Memorial Day,Miami-Dade,NA,,SOUTH MIAMI-DADE,C-100 WEST,No,4d9335a5-dc3e-4e1b-8ece-3308b6421481,POINT (876182.889368996 486931.3171898201)
148,2008-08-21T07:50:59+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6534.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,NA,NORTH ST LUCIE RIVER WATER CONTROL DISTRICT,TEN MILE CREEK,TEN MILE CREEK,Yes,4d97d56e-ccb5-49ed-aeaf-4955389e1757,POINT (851114.2347819954 1116299.212979071)
149,2022-10-19T16:00:00+00:00,2022-10-19T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Agriculture,don't_know,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,,KISSIMMEE RIVER,Yes,4e5615cc-758f-4e23-935a-43febe40d1df,POINT (614135.126720164 1209538.39559482)
150,2021-11-05T20:30:00+00:00,,ankle_deep,,don't_know,,Residential,road_street,,,,,Public,11,2021,extreme_heavy_rainfall_tidal_flooding,Both_Rain_Tidal,2021 Nov Rain and Tidal Event,Broward,HOLLYWOOD,,HOLLYWOOD,C-11 EAST,No,501a3632-0175-4407-87d1-fd3d980016f0,POINT (912781.9920236617 615059.4930195734)
151,2022-10-07T09:54:48+00:00,,don't_know,,don't_know,,Residential,don't_know,,220907_Lake_Ajay_Community-01775.jpg,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,502b8467-7119-4a32-839e-8da919376af4,POINT (583827.320209913 1458882.211210653)
152,2022-09-30T16:00:00+00:00,2022-09-30T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Residential,don't_know,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,No,5036565b-aecf-4624-87ac-11f6811d2d0d,POINT (597067.7435321622 1473527.601211153)
153,2020-11-07T05:00:00+00:00,2020-11-07T05:00:00+00:00,don't_know,,don't_know,,Residential,road_street,,I’m very concerned because the lake is already overflowing... I’d like to know who is in charge of lowering it??? We had so much incoming rain with Eta that we might get flooded in our houses...,,,Email,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Broward,SUNRISE,CENTRAL BROWARD WATER CONTROL DISTRICT,SUNRISE,C-11 WEST,No,5121573a-1e59-41f4-9fb8-aa607ac06a60,POINT (865667.1659779139 649558.3784179911)
154,2022-09-30T16:00:00+00:00,2022-09-30T16:00:00+00:00,ankle_deep,,don't_know,,Mixed_Use,don't_know,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,,,No,512d9998-4a6c-49a9-9c23-e218bd884538,POINT (522950.9376978278 1564774.995487653)
155,2022-10-04T16:00:00+00:00,2022-10-04T16:00:00+00:00,other,3ft in ,don't_know,,Residential,don't_know,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,515b8603-4195-42ad-9296-81d46223a3bf,POINT (581843.0279186629 1457034.292990491)
156,2022-10-10T16:00:00+00:00,2022-10-10T16:00:00+00:00,knee_deep,,don't_know,,Residential,road_street,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,53199496-3062-4d29-9c9c-22060b2222c1,POINT (599814.0995879956 1474603.250962742)
157,2022-09-29T16:01:48+00:00,,don't_know,,don't_know,,Residential,road_street,,220929_Ian_Lee-20220929_200148519_iOS.jpg,,,Photo Database,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,NA,EAST MULLOCH DRAINAGE DISTRICT,LEE COUNTY INLAND COAST,ESTERO BAY,Yes,53ac62af-ed00-424e-87d5-638b38b8f57f,POINT (377583.5096012466 783223.0182404071)
158,2022-09-29T15:34:23+00:00,,don't_know,,don't_know,,Residential,don't_know,,220929_Ian_Lee-20220929_193423264_iOS.jpg,,,Photo Database,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,SANIBEL,,,CAPE CORAL COASTAL,Yes,55a3ba00-95b9-4863-80de-e77a615d7280,POINT (303691.1160477474 759914.9309984073)
159,2008-08-19T09:45:19+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6379.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,55c0f424-7f74-4d85-ba2a-1c0f459bb833,POINT (864934.5936241634 1067558.475158907)
160,2022-09-28T14:55:00+00:00,,ankle_deep,,don't_know,,Mixed_Use,road_street,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Broward,FORT LAUDERDALE,,FORT LAUDERDALE DOWNTOWN,C-12E,No,55ce5017-5147-4068-a815-6fb825a6e8d8,POINT (934963.5126211606 649211.5936784893)
161,2022-11-10T18:12:00+00:00,2022-11-10T18:12:00+00:00,don't_know,,don't_know,,Residential,road_street,,Neighbor is requesting assistance with flooding on Solar Isle Dr as its been unpassable all day. Its been 3 hours after high tide and its still flooded.,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Broward,FORT LAUDERDALE,,FORT LAUDERDALE EAST,CORAL REEF,No,5653ada8-bc23-44d2-be47-53c6028566a0,POINT (947057.9917129949 647966.7979397401)
162,2020-11-09T05:00:00+00:00,2020-11-09T05:00:00+00:00,don't_know,,don't_know,,Residential,other,,"I have lived here in SW Ranches (Sunshine Ranches), east of I-75, between Griffin Rd and Old Sheridan Street 'Our entire neighborhood is under water from Eta. Canals have merged with dry land and private ponds and lakes. Are pump stations working??? We thought water levels were supposed to be lowered BEFORE the storm considering Eta was predicted to be a major rain event (which it was) and cause flooding (which it has)",,,Email,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Broward,SOUTHWEST RANCHES,CENTRAL BROWARD WATER CONTROL DISTRICT,,C-11 WEST,No,57bd355a-2a78-4c96-b237-b4ecb0a428db,POINT (874461.2983239964 619674.9198123217)
163,2008-08-21T07:55:06+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6546.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,NA,NORTH ST LUCIE RIVER WATER CONTROL DISTRICT,ST LUCIE COUNTY NORTH COAST,MID COASTAL,Yes,57d5a780-412a-421c-b6f5-aacd4a60e79f,POINT (864166.7414853275 1135345.355332904)
164,2008-08-21T07:55:32+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6553.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,FORT PIERCE,NORTH ST LUCIE RIVER WATER CONTROL DISTRICT,FT PIERCE AT FIVE MILE CREEK AND OKEECHOBEE ROAD,TIDAL ST. LUCIE NORTH FORK,Yes,58c1c669-5028-456f-aca5-1346b402811a,POINT (860553.1374920793 1127808.616797492)
165,2022-09-29T16:00:00+00:00,2022-09-29T16:00:00+00:00,greater_than_knee_deep,,whenever_it_rains,,Governmental,building_structure,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Collier,NA,,EAST NAPLES,COASTAL BASINS,Yes,58d2a7d6-ef99-4942-9650-92bbd6111374,POINT (402167.3291999139 667456.1539740711)
166,2022-10-04T16:00:00+00:00,2022-10-04T16:00:00+00:00,knee_deep,,don't_know,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,5b63fd0a-3036-4354-a914-21bccd3e0879,POINT (582894.4910388291 1474587.491151743)
167,2022-11-06T14:44:00+00:00,,ankle_deep,,don't_know,,Residential,road_street,,Multiple intersections along the east side of ocean drive in Hollywood are flooded this morning,,,Public,11,2022,High Tide/Tidal Flooding,Tidal,2022 Sept Tidal Event,Broward,HOLLYWOOD,,HOLLYWOOD,CORAL REEF,No,5b818521-95ad-43d4-a505-f0f37d7adffc,POINT (946011.6319290772 607404.7668592408)
168,2022-10-03T16:00:00+00:00,2022-10-03T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Highlands,NA,,,LAKE ARBUCKLE,No,5c59d239-8a09-4ebc-86d4-5f052d8fe7c6,POINT (491980.5265416615 1202908.561413571)
169,2022-10-06T16:00:00+00:00,2022-10-06T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Commercial,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,CYPRESS LAKE BOATRAMP,LAKE CYPRESS,Yes,5cd91786-2bf1-494a-bc4c-f229c09ae4b0,POINT (559120.6061719954 1363431.893909574)
170,2022-06-06T21:00:00+00:00,,ankle_deep,,yes_it_always_floods_here,,Mixed_Use,road_street,,It’s always floods here when it rains and could disrupt BCT service. ,,,Public,06,2022,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2022 June Tropical Storm Alex,Broward,FORT LAUDERDALE,,FORT LAUDERDALE DOWNTOWN,CORAL REEF,No,5d25e3fb-e4dd-4e9a-8fb5-123147ff0301,POINT (937003.0285552442 655421.251862824)
171,2022-10-07T10:20:16+00:00,,don't_know,,don't_know,,Residential,don't_know,,220907_Lake_Ajay_Community-02104.jpg,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,5dac3621-f023-428f-a317-171fc5a0a9ef,POINT (583391.8899784125 1458243.124562323)
172,2020-05-28T04:00:00+00:00,2020-05-28T04:00:00+00:00,don't_know,,don't_know,,Residential,other,,"What is with the management of the pumps and the precautions you say the SFWMD is taking,  the area on 45 AV & 9th ST has such extreme flooding.  Why was the level of the Comfort canal so high starting the low pressure system that got here on the weekend?",,,Email,05,2020,Extreme or Heavy Rainfall,Rain,2020 May Extreme Rain Event Memorial Day,Miami-Dade,CORAL GABLES,,CORAL GABLES,C-3,No,5de14707-4ad9-446b-b874-c3b45645e546,POINT (901006.6395901628 515748.3077840731)
173,2022-10-02T09:28:57+00:00,,don't_know,,don't_know,,Residential,building_structure,,221002_Ian_Lake_Hart_Drone-P0100010.JPG,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,5df99f53-faae-42bf-9a21-83cebc68d22c,POINT (584447.8921314962 1465723.64372199)
174,2022-09-29T15:32:52+00:00,,don't_know,,don't_know,,Residential,don't_know,,220929_Ian_Lee-20220929_193252641_iOS.jpg,,,Photo Database,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,SANIBEL,,SANIBEL,CAPE CORAL COASTAL,Yes,5eeae05c-5b59-4a45-829f-72968547d524,POINT (289464.367926497 766587.4527583197)
175,2020-11-09T05:00:00+00:00,2020-11-09T05:00:00+00:00,less_than_ankle_deep,,don't_know,,Residential,building_structure,,"Last time this year that we had the heavy rainfall, the back yard water was very high.  Almost reached the top step. the entire house was surrounded by a sea of water spilling out to the front of the property into the street.  The level of water in the back covered a round picnic table completely. About 1 inch of water seeped into the lower portion of the house from underneath. The entire street NW 4th Street was completely flooded but it seemed my property was one of the worst ones where it took longer for the water to drain. What can I do as a homeowner to remedy this flooding issue?  I understand that South Florida is prone to occasional flooding, but this is getting worse.  What are the proactive steps that Miami Dade County is taking to alleviate the flooding in this area?",,,Email,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Miami-Dade,SWEETWATER,,SWEETWATER,C-4,No,5f11f55f-86a7-4aa2-94c3-4420bacf2393,POINT (882127.9801690802 524464.2060346529)
176,2008-08-21T07:59:58+00:00,,don't_know,,don't_know,,Commercial,building_structure,,pia6566.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,FORT PIERCE,NORTH ST LUCIE RIVER WATER CONTROL DISTRICT,FT PIERCE AT FIVE MILE CREEK AND OKEECHOBEE ROAD,TIDAL ST. LUCIE NORTH FORK,Yes,5f5be04b-aa8b-4392-ac31-6b651ede5a1a,POINT (859393.0423713289 1124999.779239327)
