,GetData,Dbkey,Station,Group,Site,Data Type,Freq,Stat,Recorder,Agency,Sensor,Start Date,End Date,Strata,OpNum,County,Latitude,Longitude,X Coord,Y Coord,Basin,Struct,Sec,Twp,Rng,start_date,end_date
2394,,T9929,G378C_H,G378C,G378C,STG,DA,MEAN,TELE,WMD,H,13-JAN-2005,31-OCT-2024,0,,PAL,262149.012,803708.67,780896.031,738037.153,STA-3/4,,11,47,37,20050113,20241031
2395,,T9942,G378C_T,G378C,G378C,STG,BK,INST,TELE,WMD,T,13-JAN-2005,01-NOV-2024,0,,PAL,262147.891,803708.646,780898.545,737924.025,STA-3/4,,11,47,37,20050113,20241101
2396,,67457,G378C_T,G378C,G378C,STG,BK,INST,DRV,WMD,T,13-JAN-2005,21-OCT-2024,0,,PAL,262147.891,803708.646,780898.545,737924.025,STA-3/4,,11,47,37,20050113,20241021
2397,,67458,G378C_T,G378C,G378C,STG,DA,MEAN,DRV,WMD,T,13-JAN-2005,21-OCT-2024,0,,PAL,262147.891,803708.646,780898.545,737924.025,STA-3/4,,11,47,37,20050113,20241021
2398,,T9930,G378C_T,G378C,G378C,STG,DA,MEAN,TELE,WMD,T,13-JAN-2005,31-OCT-2024,0,,PAL,262147.891,803708.646,780898.545,737924.025,STA-3/4,,11,47,37,20050113,20241031
2399,,67461,G378E_H,G378E,G378E,STG,BK,INST,DRV,WMD,H,26-SEP-2013,21-OCT-2024,0,,PAL,262148,803757.5,776454.971,737922.107,STA-3/4,,10,47,37,20130926,20241021
2400,,AL716,G378E_H,G378E_H,G378E,STG,BK,INST,TELE,WMD,H,26-SEP-2013,01-NOV-2024,0,,PAL,262148,803757.5,776454.971,737922.107,STA-3/4,,10,47,37,20130926,20241101
2401,,67462,G378E_H,G378E,G378E,STG,DA,MEAN,DRV,WMD,H,26-SEP-2013,21-OCT-2024,0,,PAL,262148,803757.5,776454.971,737922.107,STA-3/4,,10,47,37,20130926,20241021
2402,,AL715,G378E_H,G378E_H,G378E,STG,DA,MEAN,TELE,WMD,H,26-SEP-2013,31-OCT-2024,0,,PAL,262148,803757.5,776454.971,737922.107,STA-3/4,,10,47,37,20130926,20241031
2403,,TZ225,G378E_T,G378E_T,G378E,STG,BK,INST,TELE,WMD,T,19-JUN-2006,01-NOV-2024,0,,PAL,262147.997,803756.92,776506.107,737920.358,STA-3/4,,10,47,37,20060619,20241101
2404,,67459,G378E_T,G378E,G378E,STG,BK,INST,DRV,WMD,T,19-JUN-2006,21-OCT-2024,0,,PAL,262147.997,803756.92,776506.107,737920.358,STA-3/4,,10,47,37,20060619,20241021
2405,,67460,G378E_T,G378E,G378E,STG,DA,MEAN,DRV,WMD,T,19-JUN-2006,21-OCT-2024,0,,PAL,262147.997,803756.92,776506.107,737920.358,STA-3/4,,10,47,37,20060619,20241021
2406,,TZ224,G378E_T,G378E_T,G378E,STG,DA,MEAN,TELE,WMD,T,19-JUN-2006,31-OCT-2024,0,,PAL,262147.997,803756.92,776506.107,737920.358,STA-3/4,,10,47,37,20060619,20241031
2407,,TA500,G379B_H,G379B_H,G379B,STG,BK,INST,DWR,WMD,H,02-FEB-2004,20-JAN-2005,0,,PAL,262006.807,803626.34,784775.885,727727.9,STA-3/4,,23,47,37,20040202,20050120
2408,,AP535,G379B_H,G379B_H,G379B,STG,BK,INST,DRV,WMD,H,02-FEB-2004,28-OCT-2024,0,,PAL,262006.807,803626.34,784775.885,727727.9,STA-3/4,,23,47,37,20040202,20241028
2409,,T1049,G379B_H,G379B_H,G379B,STG,BK,INST,TELE,WMD,H,17-DEC-2004,01-NOV-2024,0,,PAL,262006.807,803626.34,784775.885,727727.9,STA-3/4,,23,47,37,20041217,20241101
2410,,TA499,G379B_H,G379B_H,G379B,STG,DA,MEAN,DWR,WMD,H,02-FEB-2004,20-JAN-2005,0,,PAL,262006.807,803626.34,784775.885,727727.9,STA-3/4,,23,47,37,20040202,20050120
2411,,AP534,G379B_H,G379B_H,G379B,STG,DA,MEAN,DRV,WMD,H,02-FEB-2004,28-OCT-2024,0,,PAL,262006.807,803626.34,784775.885,727727.9,STA-3/4,,23,47,37,20040202,20241028
2412,,T1048,G379B_H,G379B_H,G379B,STG,DA,MEAN,TELE,WMD,H,17-DEC-2004,31-OCT-2024,0,,PAL,262006.807,803626.34,784775.885,727727.9,STA-3/4,,23,47,37,20041217,20241031
2413,,TA502,G379B_T,G379B_T,G379B,STG,BK,INST,DWR,WMD,T,02-FEB-2004,20-JAN-2005,0,,PAL,262005.985,803626.997,784718.015,727646.218,STA-3/4,,23,47,37,20040202,20050120
2414,,T1051,G379B_T,G379B_T,G379B,STG,BK,INST,TELE,WMD,T,17-DEC-2004,01-NOV-2024,0,,PAL,262005.985,803626.997,784718.015,727646.218,STA-3/4,,23,47,37,20041217,20241101
2415,,65638,G379B_T,G379B_T,G379B,STG,BK,INST,DRV,WMD,T,02-FEB-2004,28-OCT-2024,0,,PAL,262005.985,803626.997,784718.015,727646.218,STA-3/4,,23,47,37,20040202,20241028
2416,,TA501,G379B_T,G379B_T,G379B,STG,DA,MEAN,DWR,WMD,T,02-FEB-2004,20-JAN-2005,0,,PAL,262005.985,803626.997,784718.015,727646.218,STA-3/4,,23,47,37,20040202,20050120
2417,,65637,G379B_T,G379B_T,G379B,STG,DA,MEAN,DRV,WMD,T,02-FEB-2004,28-OCT-2024,0,,PAL,262005.985,803626.997,784718.015,727646.218,STA-3/4,,23,47,37,20040202,20241028
2418,,T1050,G379B_T,G379B_T,G379B,STG,DA,MEAN,TELE,WMD,T,17-DEC-2004,31-OCT-2024,0,,PAL,262005.985,803626.997,784718.015,727646.218,STA-3/4,,23,47,37,20041217,20241031
2419,,TA506,G379D_H,G379D_H,G379D,STG,BK,INST,DWR,WMD,H,02-FEB-2004,20-JAN-2005,0,,PAL,262022.183,803727.252,779231.379,729265.352,STA-3/4,,22,47,37,20040202,20050120
2420,,T1055,G379D_H,G379D_H,G379D,STG,BK,INST,TELE,WMD,H,17-DEC-2004,01-NOV-2024,0,,PAL,262022.183,803727.252,779231.379,729265.352,STA-3/4,,22,47,37,20041217,20241101
2421,,AP537,G379D_H,G379D_H,G379D,STG,BK,INST,DRV,WMD,H,02-FEB-2004,28-OCT-2024,0,,PAL,262022.183,803727.252,779231.379,729265.352,STA-3/4,,22,47,37,20040202,20241028
2422,,TA505,G379D_H,G379D_H,G379D,STG,DA,MEAN,DWR,WMD,H,02-FEB-2004,20-JAN-2005,0,,PAL,262022.183,803727.252,779231.379,729265.352,STA-3/4,,22,47,37,20040202,20050120
2423,,AP536,G379D_H,G379D_H,G379D,STG,DA,MEAN,DRV,WMD,H,02-FEB-2004,28-OCT-2024,0,,PAL,262022.183,803727.252,779231.379,729265.352,STA-3/4,,22,47,37,20040202,20241028
2424,,T1054,G379D_H,G379D_H,G379D,STG,DA,MEAN,TELE,WMD,H,17-DEC-2004,31-OCT-2024,0,,PAL,262022.183,803727.252,779231.379,729265.352,STA-3/4,,22,47,37,20041217,20241031
2425,,TA508,G379D_T,G379D_T,G379D,STG,BK,INST,DWR,WMD,T,02-FEB-2004,20-JAN-2005,0,,PAL,262021.104,803727.342,779223.566,729156.41,STA-3/4,,22,47,37,20040202,20050120
2426,,T1057,G379D_T,G379D_T,G379D,STG,BK,INST,TELE,WMD,T,17-DEC-2004,01-NOV-2024,0,,PAL,262021.104,803727.342,779223.566,729156.41,STA-3/4,,22,47,37,20041217,20241101
2427,,65640,G379D_T,G379D_T,G379D,STG,BK,INST,DRV,WMD,T,02-FEB-2004,28-OCT-2024,0,,PAL,262021.104,803727.342,779223.566,729156.41,STA-3/4,,22,47,37,20040202,20241028
2428,,TA507,G379D_T,G379D_T,G379D,STG,DA,MEAN,DWR,WMD,T,02-FEB-2004,20-JAN-2005,0,,PAL,262021.104,803727.342,779223.566,729156.41,STA-3/4,,22,47,37,20040202,20050120
2429,,65639,G379D_T,G379D_T,G379D,STG,DA,MEAN,DRV,WMD,T,02-FEB-2004,28-OCT-2024,0,,PAL,262021.104,803727.342,779223.566,729156.41,STA-3/4,,22,47,37,20040202,20241028
2430,,T1056,G379D_T,G379D_T,G379D,STG,DA,MEAN,TELE,WMD,T,17-DEC-2004,31-OCT-2024,0,,PAL,262021.104,803727.342,779223.566,729156.41,STA-3/4,,22,47,37,20041217,20241031
2431,,67463,G379E_H,G379E,G379E,STG,BK,INST,DRV,WMD,H,19-JUN-2006,28-OCT-2024,0,,PAL,262031.223,803754.124,776782.555,730169.522,STA-3/4,,22,47,37,20060619,20241028
2432,,TZ227,G379E_H,G379E_H,G379E,STG,BK,INST,TELE,WMD,H,19-JUN-2006,01-NOV-2024,0,,PAL,262031.223,803754.124,776782.555,730169.522,STA-3/4,,22,47,37,20060619,20241101
2433,,67464,G379E_H,G379E,G379E,STG,DA,MEAN,DRV,WMD,H,19-JUN-2006,28-OCT-2024,0,,PAL,262031.223,803754.124,776782.555,730169.522,STA-3/4,,22,47,37,20060619,20241028
2434,,TZ226,G379E_H,G379E_H,G379E,STG,DA,MEAN,TELE,WMD,H,19-JUN-2006,31-OCT-2024,0,,PAL,262031.223,803754.124,776782.555,730169.522,STA-3/4,,22,47,37,20060619,20241031
2435,,AL718,G379E_T,G379E_T,G379E,STG,BK,INST,TELE,WMD,T,25-SEP-2013,01-NOV-2024,0,,PAL,262030.8,803754.7,776731.877,730128.235,STA-3/4,,22,47,37,20130925,20241101
2436,,65643,G379E_T,G379E_T,G379E,STG,BK,INST,DRV,WMD,T,26-SEP-2013,28-OCT-2024,0,,PAL,262030.8,803754.7,776731.877,730128.235,STA-3/4,,22,47,37,20130926,20241028
2437,,65641,G379E_T,G379E_T,G379E,STG,DA,MEAN,DRV,WMD,T,25-SEP-2013,28-OCT-2024,0,,PAL,262030.8,803754.7,776731.877,730128.235,STA-3/4,,22,47,37,20130925,20241028
2438,,AL717,G379E_T,G379E_T,G379E,STG,DA,MEAN,TELE,WMD,T,25-SEP-2013,31-OCT-2024,0,,PAL,262030.8,803754.7,776731.877,730128.235,STA-3/4,,22,47,37,20130925,20241031
2439,,T9943,G380B_H,G380B,G380B,STG,BK,INST,TELE,WMD,H,13-JAN-2005,01-NOV-2024,0,,PAL,262346.151,803856.163,771086.806,749836.584,STA-3/4,,33,46,37,20050113,20241101
2440,,T9931,G380B_H,G380B,G380B,STG,DA,MEAN,TELE,WMD,H,13-JAN-2005,31-OCT-2024,0,,PAL,262346.151,803856.163,771086.806,749836.584,STA-3/4,,33,46,37,20050113,20241031
2441,,41979,G380B_T,G380B,G380B,STG,BK,INST,DRV,WMD,T,13-JAN-2005,29-OCT-2024,0,,PAL,262344.965,803856.202,771083.551,749716.793,STA-3/4,,33,46,37,20050113,20241029
2442,,T9944,G380B_T,G380B,G380B,STG,BK,INST,TELE,WMD,T,13-JAN-2005,01-NOV-2024,0,,PAL,262344.965,803856.202,771083.551,749716.793,STA-3/4,,33,46,37,20050113,20241101
2443,,41981,G380B_T,G380B,G380B,STG,DA,MEAN,DRV,WMD,T,13-JAN-2005,29-OCT-2024,0,,PAL,262344.965,803856.202,771083.551,749716.793,STA-3/4,,33,46,37,20050113,20241029
2444,,T9932,G380B_T,G380B,G380B,STG,DA,MEAN,TELE,WMD,T,13-JAN-2005,31-OCT-2024,0,,PAL,262344.965,803856.202,771083.551,749716.793,STA-3/4,,33,46,37,20050113,20241031
2445,,T9993,G380E_H,G380E,G380E,STG,BK,INST,TELE,WMD,H,13-JAN-2005,01-NOV-2024,0,,PAL,262345.668,804022.716,763216.71,749767.13,STA-3/4,,31,46,37,20050113,20241101
2446,,40255,G380E_H,G380E_H,G380E,STG,BK,INST,DRV,WMD,H,13-JAN-2005,29-OCT-2024,0,,PAL,262345.668,804022.716,763216.71,749767.13,STA-3/4,,31,46,37,20050113,20241029
2447,,40254,G380E_H,G380E_H,G380E,STG,DA,MEAN,DRV,WMD,H,13-JAN-2005,29-OCT-2024,0,,PAL,262345.668,804022.716,763216.71,749767.13,STA-3/4,,31,46,37,20050113,20241029
2448,,T9997,G380E_H,G380E,G380E,STG,DA,MEAN,TELE,WMD,H,13-JAN-2005,31-OCT-2024,0,,PAL,262345.668,804022.716,763216.71,749767.13,STA-3/4,,31,46,37,20050113,20241031
2449,,41982,G380E_T,G380E,G380E,STG,BK,INST,DRV,WMD,T,13-JAN-2005,29-OCT-2024,0,,PAL,262344.559,804022.672,763221.051,749655.151,STA-3/4,,31,46,37,20050113,20241029
2450,,T9994,G380E_T,G380E,G380E,STG,BK,INST,TELE,WMD,T,13-JAN-2005,01-NOV-2024,0,,PAL,262344.559,804022.672,763221.051,749655.151,STA-3/4,,31,46,37,20050113,20241101
2451,,41983,G380E_T,G380E,G380E,STG,DA,MEAN,DRV,WMD,T,13-JAN-2005,29-OCT-2024,0,,PAL,262344.559,804022.672,763221.051,749655.151,STA-3/4,,31,46,37,20050113,20241029
2452,,T9998,G380E_T,G380E,G380E,STG,DA,MEAN,TELE,WMD,T,13-JAN-2005,31-OCT-2024,0,,PAL,262344.559,804022.672,763221.051,749655.151,STA-3/4,,31,46,37,20050113,20241031
2453,,TA511,G381B_H,G381B_H,G381B,STG,BK,INST,DWR,WMD,H,02-FEB-2004,16-DEC-2004,0,,PAL,262135.556,803854.935,771234.402,736651.121,STA-3/4,,16,47,37,20040202,20041216
2454,,AP545,G381B_H,G381B_H,G381B,STG,BK,INST,DRV,WMD,H,02-FEB-2004,21-OCT-2024,0,,PAL,262135.556,803854.935,771234.402,736651.121,STA-3/4,,16,47,37,20040202,20241021
2455,,T1062,G381B_H,G381B_H,G381B,STG,BK,INST,TELE,WMD,H,17-DEC-2004,01-NOV-2024,0,,PAL,262135.556,803854.935,771234.402,736651.121,STA-3/4,,16,47,37,20041217,20241101
2456,,TA510,G381B_H,G381B_H,G381B,STG,DA,MEAN,DWR,WMD,H,02-FEB-2004,16-DEC-2004,0,,PAL,262135.556,803854.935,771234.402,736651.121,STA-3/4,,16,47,37,20040202,20041216
2457,,AP538,G381B_H,G381B_H,G381B,STG,DA,MEAN,DRV,WMD,H,02-FEB-2004,21-OCT-2024,0,,PAL,262135.556,803854.935,771234.402,736651.121,STA-3/4,,16,47,37,20040202,20241021
2458,,T1061,G381B_H,G381B_H,G381B,STG,DA,MEAN,TELE,WMD,H,17-DEC-2004,31-OCT-2024,0,,PAL,262135.556,803854.935,771234.402,736651.121,STA-3/4,,16,47,37,20041217,20241031
2459,,TA513,G381B_T,G381B_T,G381B,STG,BK,INST,DWR,WMD,T,02-FEB-2004,16-DEC-2004,0,,PAL,262134.368,803854.948,771233.538,736531.209,STA-3/4,,16,47,37,20040202,20041216
2460,,T1064,G381B_T,G381B_T,G381B,STG,BK,INST,TELE,WMD,T,17-DEC-2004,01-NOV-2024,0,,PAL,262134.368,803854.948,771233.538,736531.209,STA-3/4,,16,47,37,20041217,20241101
2461,,65645,G381B_T,G381B_T,G381B,STG,BK,INST,DRV,WMD,T,02-FEB-2004,21-OCT-2024,0,,PAL,262134.368,803854.948,771233.538,736531.209,STA-3/4,,16,47,37,20040202,20241021
2462,,TA512,G381B_T,G381B_T,G381B,STG,DA,MEAN,DWR,WMD,T,02-FEB-2004,16-DEC-2004,0,,PAL,262134.368,803854.948,771233.538,736531.209,STA-3/4,,16,47,37,20040202,20041216
2463,,65644,G381B_T,G381B_T,G381B,STG,DA,MEAN,DRV,WMD,T,02-FEB-2004,21-OCT-2024,0,,PAL,262134.368,803854.948,771233.538,736531.209,STA-3/4,,16,47,37,20040202,20241021
2464,,T1063,G381B_T,G381B_T,G381B,STG,DA,MEAN,TELE,WMD,T,17-DEC-2004,31-OCT-2024,0,,PAL,262134.368,803854.948,771233.538,736531.209,STA-3/4,,16,47,37,20041217,20241031
2465,,TA517,G381E_H,G381E_H,G381E,STG,BK,INST,DWR,WMD,H,02-FEB-2004,16-DEC-2004,0,,PAL,262148.096,804022.843,763235.302,737896.204,STA-3/4,,7,47,37,20040202,20041216
2466,,AP547,G381E_H,G381E_H,G381E,STG,BK,INST,DRV,WMD,H,02-FEB-2004,21-OCT-2024,0,,PAL,262148.096,804022.843,763235.302,737896.204,STA-3/4,,7,47,37,20040202,20241021
2467,,T1069,G381E_H,G381E_H,G381E,STG,BK,INST,TELE,WMD,H,17-DEC-2004,01-NOV-2024,0,,PAL,262148.096,804022.843,763235.302,737896.204,STA-3/4,,7,47,37,20041217,20241101
2468,,TA516,G381E_H,G381E_H,G381E,STG,DA,MEAN,DWR,WMD,H,02-FEB-2004,16-DEC-2004,0,,PAL,262148.096,804022.843,763235.302,737896.204,STA-3/4,,7,47,37,20040202,20041216
2469,,AP546,G381E_H,G381E_H,G381E,STG,DA,MEAN,DRV,WMD,H,02-FEB-2004,21-OCT-2024,0,,PAL,262148.096,804022.843,763235.302,737896.204,STA-3/4,,7,47,37,20040202,20241021
2470,,T1068,G381E_H,G381E_H,G381E,STG,DA,MEAN,TELE,WMD,H,17-DEC-2004,31-OCT-2024,0,,PAL,262148.096,804022.843,763235.302,737896.204,STA-3/4,,7,47,37,20041217,20241031
2471,,TA519,G381E_T,G381E_T,G381E,STG,BK,INST,DWR,WMD,T,02-FEB-2004,16-DEC-2004,0,,PAL,262146.775,804022.88,763232.228,737762.84,STA-3/4,,18,47,37,20040202,20041216
2472,,65647,G381E_T,G381E_T,G381E,STG,BK,INST,DRV,WMD,T,02-FEB-2004,21-OCT-2024,0,,PAL,262146.775,804022.88,763232.228,737762.84,STA-3/4,,18,47,37,20040202,20241021
2473,,T1071,G381E_T,G381E_T,G381E,STG,BK,INST,TELE,WMD,T,17-DEC-2004,01-NOV-2024,0,,PAL,262146.775,804022.88,763232.228,737762.84,STA-3/4,,18,47,37,20041217,20241101
2474,,TA518,G381E_T,G381E_T,G381E,STG,DA,MEAN,DWR,WMD,T,02-FEB-2004,16-DEC-2004,0,,PAL,262146.775,804022.88,763232.228,737762.84,STA-3/4,,18,47,37,20040202,20041216
2475,,65646,G381E_T,G381E_T,G381E,STG,DA,MEAN,DRV,WMD,T,02-FEB-2004,21-OCT-2024,0,,PAL,262146.775,804022.88,763232.228,737762.84,STA-3/4,,18,47,37,20040202,20241021
2476,,T1070,G381E_T,G381E_T,G381E,STG,DA,MEAN,TELE,WMD,T,17-DEC-2004,31-OCT-2024,0,,PAL,262146.775,804022.88,763232.228,737762.84,STA-3/4,,18,47,37,20041217,20241031
2477,,VV480,G384C_H,G384C_H,G384C,STG,BK,INST,TELE,WMD,H,11-APR-2008,01-NOV-2024,0,,PAL,262240.611,803925.587,768427.302,743210.432,STA-3/4,,5,47,37,20080411,20241101
2478,,67467,G384C_H,G384C,G384C,STG,BK,INST,DRV,WMD,H,11-APR-2008,23-OCT-2024,0,,PAL,262240.611,803925.587,768427.302,743210.432,STA-3/4,,5,47,37,20080411,20241023
2479,,67468,G384C_H,G384C,G384C,STG,DA,MEAN,DRV,WMD,H,11-APR-2008,23-OCT-2024,0,,PAL,262240.611,803925.587,768427.302,743210.432,STA-3/4,,5,47,37,20080411,20241023
2480,,VV479,G384C_H,G384C_H,G384C,STG,DA,MEAN,TELE,WMD,H,11-APR-2008,31-OCT-2024,0,,PAL,262240.611,803925.587,768427.302,743210.432,STA-3/4,,5,47,37,20080411,20241031
2481,,VV482,G384C_T,G384C_T,G384C,STG,BK,INST,TELE,WMD,T,11-APR-2008,01-NOV-2024,0,,PAL,262240.354,803925.579,768428.066,743184.509,STA-3/4,,5,47,37,20080411,20241101
2482,,67465,G384C_T,G384C,G384C,STG,BK,INST,DRV,WMD,T,11-APR-2008,23-OCT-2024,0,,PAL,262240.354,803925.579,768428.066,743184.509,STA-3/4,,5,47,37,20080411,20241023
2483,,67466,G384C_T,G384C,G384C,STG,DA,MEAN,DRV,WMD,T,11-APR-2008,23-OCT-2024,0,,PAL,262240.354,803925.579,768428.066,743184.509,STA-3/4,,5,47,37,20080411,20241023
2484,,VV481,G384C_T,G384C_T,G384C,STG,DA,MEAN,TELE,WMD,T,11-APR-2008,31-OCT-2024,0,,PAL,262240.354,803925.579,768428.066,743184.509,STA-3/4,,5,47,37,20080411,20241031
2485,,67469,G388_H,G388,G388,STG,BK,INST,DRV,WMD,H,12-JUN-2006,27-OCT-2024,0,,PAL,262031.737,803800.628,776190.726,730219.796,STA-3/4,,22,47,37,20060612,20241027
2486,,TZ220,G388_H,G388_H,G388,STG,BK,INST,TELE,WMD,H,12-JUN-2006,01-NOV-2024,0,,PAL,262031.737,803800.628,776190.726,730219.796,STA-3/4,,22,47,37,20060612,20241101
2487,,67470,G388_H,G388,G388,STG,DA,MEAN,DRV,WMD,H,12-JUN-2006,27-OCT-2024,0,,PAL,262031.737,803800.628,776190.726,730219.796,STA-3/4,,22,47,37,20060612,20241027
2488,,TZ219,G388_H,G388_H,G388,STG,DA,MEAN,TELE,WMD,H,12-JUN-2006,31-OCT-2024,0,,PAL,262031.737,803800.628,776190.726,730219.796,STA-3/4,,22,47,37,20060612,20241031
2489,,UA605,G389B_T,G389B_T,G389B,STG,BK,INST,TELE,WMD,T,17-JUL-2006,01-NOV-2024,0,,PAL,262109.609,803753.309,776845.6,734045.452,STA-3/4,,15,47,37,20060717,20241101
2490,,UA604,G389B_T,G389B_T,G389B,STG,DA,MEAN,TELE,WMD,T,17-JUL-2006,31-OCT-2024,0,,PAL,262109.609,803753.309,776845.6,734045.452,STA-3/4,,15,47,37,20060717,20241031
2491,,UA608,G390B_H,G390B_H,G390B,STG,BK,INST,TELE,WMD,H,17-JUL-2006,01-NOV-2024,0,,PAL,262110.365,803805.502,775737.88,734120.126,STA-3/4,,15,47,37,20060717,20241101
2492,,67474,G390B_H,G390B,G390B,STG,BK,INST,DRV,WMD,H,17-JUL-2006,27-OCT-2024,0,,PAL,262110.365,803805.502,775737.88,734120.126,STA-3/4,,15,47,37,20060717,20241027
2493,,67475,G390B_H,G390B,G390B,STG,DA,MEAN,DRV,WMD,H,17-JUL-2006,20-OCT-2024,0,,PAL,262110.365,803805.502,775737.88,734120.126,STA-3/4,,15,47,37,20060717,20241020
2494,,UA607,G390B_H,G390B_H,G390B,STG,DA,MEAN,TELE,WMD,H,17-JUL-2006,31-OCT-2024,0,,PAL,262110.365,803805.502,775737.88,734120.126,STA-3/4,,15,47,37,20060717,20241031
2495,,UA610,G390B_T,G390B_T,G390B,STG,BK,INST,TELE,WMD,T,17-JUL-2006,01-NOV-2024,0,,PAL,262109.157,803805.606,775728.765,733998.164,STA-3/4,,15,47,37,20060717,20241101
2496,,67471,G390B_T,G390B,G390B,STG,BK,INST,DRV,WMD,T,17-JUL-2006,27-OCT-2024,0,,PAL,262109.157,803805.606,775728.765,733998.164,STA-3/4,,15,47,37,20060717,20241027
2497,,67473,G390B_T,G390B,G390B,STG,DA,MEAN,DRV,WMD,T,17-JUL-2006,20-OCT-2024,0,,PAL,262109.157,803805.606,775728.765,733998.164,STA-3/4,,15,47,37,20060717,20241020
2498,,UA609,G390B_T,G390B_T,G390B,STG,DA,MEAN,TELE,WMD,T,17-JUL-2006,31-OCT-2024,0,,PAL,262109.157,803805.606,775728.765,733998.164,STA-3/4,,15,47,37,20060717,20241031
2499,,IX516,G392S_H,STA6,G392S,STG,BK,INST,CR10,WMD,H,17-DEC-1997,14-DEC-2015,0,,HEN,262045.944,805337.045,691004.368,731499.72,STA-5/6,,36,47,34,19971217,20151214
2500,,G6561,G392S_H,STA6,G392S,STG,DA,MEAN,CR10,WMD,H,17-DEC-1997,14-DEC-2015,0,,HEN,262045.944,805337.045,691004.368,731499.72,STA-5/6,,36,47,34,19971217,20151214
2501,,IX517,G392S_T,STA6,G392S,STG,BK,INST,CR10,WMD,T,17-DEC-1997,14-DEC-2015,0,,HEN,262046.571,805336.195,691081.625,731563.088,STA-5/6,,36,47,34,19971217,20151214
2502,,G6562,G392S_T,STA6,G392S,STG,DA,MEAN,CR10,WMD,T,17-DEC-1997,14-DEC-2015,0,,HEN,262046.571,805336.195,691081.625,731563.088,STA-5/6,,36,47,34,19971217,20151214
2503,,IX518,G393B_H,STA6,G393B,STG,BK,INST,CR10,WMD,H,12-DEC-1997,01-NOV-2024,0,,HEN,262012.35,805256.4,694703.397,728109.591,STA-5/6,,1,48,34,19971212,20241101
2504,,67485,G393B_H,G393B,G393B,STG,BK,INST,DRV,WMD,H,12-DEC-1997,23-OCT-2024,0,,HEN,262012.35,805256.4,694703.397,728109.591,STA-5/6,,1,48,34,19971212,20241023
2505,,67486,G393B_H,G393B,G393B,STG,DA,MEAN,DRV,WMD,H,12-DEC-1997,23-OCT-2024,0,,HEN,262012.35,805256.4,694703.397,728109.591,STA-5/6,,1,48,34,19971212,20241023
2506,,G6565,G393B_H,STA6,G393B,STG,DA,MEAN,CR10,WMD,H,12-DEC-1997,31-OCT-2024,0,,HEN,262012.35,805256.4,694703.397,728109.591,STA-5/6,,1,48,34,19971212,20241031
2507,,67482,G393B_T,G393B,G393B,STG,BK,INST,DRV,WMD,T,12-DEC-1997,23-OCT-2024,0,,HEN,262012.43,805254.95,694835.302,728117.788,STA-5/6,,1,48,34,19971212,20241023
2508,,IX519,G393B_T,STA6,G393B,STG,BK,INST,CR10,WMD,T,12-DEC-1997,01-NOV-2024,0,,HEN,262012.43,805254.95,694835.302,728117.788,STA-5/6,,1,48,34,19971212,20241101
2509,,67484,G393B_T,G393B,G393B,STG,DA,MEAN,DRV,WMD,T,12-DEC-1997,23-OCT-2024,0,,HEN,262012.43,805254.95,694835.302,728117.788,STA-5/6,,1,48,34,19971212,20241023
2510,,G6566,G393B_T,STA6,G393B,STG,DA,MEAN,CR10,WMD,T,12-DEC-1997,31-OCT-2024,0,,HEN,262012.43,805254.95,694835.302,728117.788,STA-5/6,,1,48,34,19971212,20241031
2511,,VV530,G396A_H,G396A_H,G396A,STG,BK,INST,TELE,WMD,H,17-APR-2008,01-NOV-2024,0,,HEN,262242.491,805419.286,687151.751,743262.385,STA-5/6,,23,47,34,20080417,20241101
2512,,VV529,G396A_H,G396A_H,G396A,STG,DA,MEAN,TELE,WMD,H,17-APR-2008,31-OCT-2024,0,,HEN,262242.491,805419.286,687151.751,743262.385,STA-5/6,,23,47,34,20080417,20241031
2513,,VV532,G396A_T,G396A_T,G396A,STG,BK,INST,TELE,WMD,T,17-APR-2008,01-NOV-2024,0,,HEN,262240.471,805419.003,687177.649,743058.443,STA-5/6,,23,47,34,20080417,20241101
2514,,VV531,G396A_T,G396A_T,G396A,STG,DA,MEAN,TELE,WMD,T,17-APR-2008,31-OCT-2024,0,,HEN,262240.471,805419.003,687177.649,743058.443,STA-5/6,,23,47,34,20080417,20241031
2515,,VV535,G396B_H,G396B_H,G396B,STG,BK,INST,TELE,WMD,H,17-APR-2008,01-NOV-2024,0,,HEN,262216.594,805418.946,687184.604,740647.701,STA-5/6,,26,47,34,20080417,20241101
2516,,VV534,G396B_H,G396B_H,G396B,STG,DA,MEAN,TELE,WMD,H,17-APR-2008,31-OCT-2024,0,,HEN,262216.594,805418.946,687184.604,740647.701,STA-5/6,,26,47,34,20080417,20241031
2517,,VV537,G396B_T,G396B_T,G396B,STG,BK,INST,TELE,WMD,T,17-APR-2008,01-NOV-2024,0,,HEN,262214.636,805418.657,687211.02,740450.055,STA-5/6,,26,47,34,20080417,20241101
2518,,VV536,G396B_T,G396B_T,G396B,STG,DA,MEAN,TELE,WMD,T,17-APR-2008,31-OCT-2024,0,,HEN,262214.636,805418.657,687211.02,740450.055,STA-5/6,,26,47,34,20080417,20241031
2519,,VV540,G396C_H,G396C_H,G396C,STG,BK,INST,TELE,WMD,H,17-APR-2008,01-NOV-2024,0,,HEN,262150.379,805418.628,687215.47,738000.922,STA-5/6,,26,47,34,20080417,20241101
